log_id,intention_id,title,category,motivation,date_created,event_date,event_type,hours_spent,perceived_importance,urgency,personal_interest,career_relevance,estimated_effort_hours,has_deadline,deadline_date,note
348,129,LEARN A CARD OR BOARD GAME DEEPLY,HOBBY,Obligation / should-do,04/03/2025,03 May 2025,postponed,0.0,2.0,4.0,3.0,1.0,6.5,,,Lack of motivation
349,76,Review and cut subscriptions,financial,Obligation / should-do,08-17-2023,02-01-2024,Postponed,0.0,2.0,3.0,3.0,5.0,3.9,Yes,2023-10-19,Blocked by dependency
350,186,Find a mentor in my field, Career,Obligation / should-do,02-01-2025,01/02/2025,CREATED,0.0,1.0,1.0,3.0,4.0,7.7,no,,
351,250,Prepare for technical interviews,career,Health & wellbeing,2024/09/06,09/11/2024,postponed,,1.0,2.0,2.0,2.0,2.0,,,Lack of money
352,176,Write short stories weekly,creative,Personal growth,2024/04/17,04-17-2024,CREATED,0.0,5.0,1.0,3.0,,23.8,,,
353,86,Start a freelance side gig,Side Project,Obligation / should-do,11-13-2024,21 Nov 2024,Researched,1.4,4.0,1.0,4.0,3.0,1.7,No,,
354,252,Complete a data visualization course,Learning & Skills,Health & wellbeing,05-15-2025,07-08-2025,Researched,7.4,,4.0,3.0,1.0,7.8,,,
355,11,Create a monthly budget,FINANCIAL,Obligation / should-do,25/05/2025,05-31-2025,Research,5.4,3.0,2.0,2.0,3.0,20.7,Yes,2025-07-03,
356,133,learn key phrases for a trip, Travel,Curiosity / fun,2023-12-30,07 Mar 2024,start,0.0,2.0,1.0,3.0,,4.3,N,,
357,178,PLAN A TRIP ITINERARY,travel,Personal growth,2023/09/07,2023-09-07,CREATED,0.0,5.0,3.0,2.0,2.0,22.1,False,,
358,119,Restore an old creative project,CREATIVE ,Financial security,29 Apr 2024,29 Apr 2024,Created,0.0,3.0,,3.0,1.0,20.8,,,
359,281,Start a reading challenge,HOBBY,Curiosity / fun,2023-11-27,2023-12-16,Research,,2.0,3.0,4.0,2.0,20.0,FALSE,,
360,41,Try a new craft technique,Creative,Health & wellbeing,2025-04-06,05-05-2025,RESEARCHED,1.1,3.0,3.0,4.0,2.0,2.4,N,,
361,130,Start a puzzle-solving habit,HOBBY,Health & wellbeing,11-27-2023,15/12/2023,researching,1.1,2.0,1.0,medium,1.0,15.3,No,,
362,243,Finish an online Python course,Learning & Skills,Financial security,2025/05/23,2025/05/23,Created,0.0,1.0,1.0,2.0,3.0,6.3,N,,
363,271,Start a small garden,hobby,Social connection,2024-12-27,2024-12-27,CREATED,0.0,very low,1.0,4.0,2.0,4.9,N,,
364,161,LEARN THE BASICS OF INVESTING,FINANCIAL,Health & wellbeing,07-06-2024,14 Jul 2024,PLANNED,0.0,,1.0,3.0,1.0,5.5,No,,
365,169,Compare insurance providers,FINANCIAL,Career advancement,04-13-2025,09 Jul 2025,Abandoned,0.0,3.0,3.0,2.0,3.0,9.5,No,,Lack of time
366,77, Reorganize the wardrobe  ,HOME & ADMIN,Curiosity / fun,04 Jun 2025,06-04-2025,New,0.0,2.0,1.0,1.0,1.0,4.1,Y,2025-08-28,
367,213,Build a personal dashboard,SideProject,Social connection,2023/10/07,13/12/2023,Replaced,500.0,4.0,1.0,4.0,,5.9,N,,Replaced by a different priority
368,59,LAUNCH A SMALL ONLINE SHOP,SIDE PROJECT,Health & wellbeing,06-02-2024,2024-09-15,gave up,0.0,2.0,2.0,2.0,3.0,11.3,Yes,2024-09-13,No accountability
369,45, Write a long-overdue message  ,relationships,Health & wellbeing,10-13-2023,05 Nov 2023,RESEARCHED,,5.0,1.0,4.0,1.0,5.3,N,,
370,198,improve sleep schedule,FITNESS & HEALTH,Obligation / should-do,2023-03-22,2023/04/08,Research,0.4,1.0,4.0,4.0,1.0,8.4,No,,
371,80,Learn a card or board game deeply,Hobby,Curiosity / fun,2023/02/09,31 Mar 2023,researching,1.7,2.0,1.0,5.0,1.0,24.9,TRUE,2023-06-14,
372,225,PLAN A ROAD TRIP ROUTE,Travel,Social connection,2024/02/22,25/07/2024,Replaced,0.0,4.0,4.0,4.0,1.0,,N,,Replaced by a different priority
373,111,Learn to cook healthier meals,Fitness & Health,Career advancement,2023/05/11,27 Jun 2023,researching,2.5,,2.0,4.0,1.0,11.1,,,
374,101,Start a niche newsletter,SIDE PROJECT,Health & wellbeing,03 Oct 2024,2025/03/10,Continued,1.9,4.0,4.0,1.0,3.0,4.5,yes,2025-02-06,
375,174,plan a trip itinerary,Travel,Financial security,05-05-2023,19 Sep 2023,worked on it,-1.3,2.0,2.0,medium,2.0,49.9,TRUE,2023-10-27,
376,282,Learn to cook healthier meals,FITNESS & HEALTH,Social connection,11 Mar 2023,2023-06-27,worked on it,1.7,2.0,1.0,5.0,,6.5,no,,
377,208,Restore an old creative project,creative,Financial security,01/04/2025,2025-04-01,CREATED,0.0,4.0,1.0,1.0,1.0,21.0,False,,
378,25,Renew an expiring document,HOME & ADMIN,Creative expression,28/10/2023,21/01/2024,worked on it,13.8,4.0,1.0,very high,1.0,13.8,N,,
379,171,Build a personal data project,Side Project,Creative expression,2024/11/04,23 Dec 2024,Started,0.0,2.0,1.0,2.0,4.0,29.3,No,,
380,204,Research a relocation destination, Travel,Curiosity / fun,2023/08/31,08-31-2023,created,0.0,3.0,1.0,,,12.0,0,,
381,91,start going to the gym 3x/week,Fitness & Health,Curiosity / fun,10-18-2023,11-23-2023,Researched,0.4,3.0,3.0,,2.0,5.1,No,,
382,47,Learn to use Power BI,Learning&Skills,Creative expression,2023/06/20,20 Jun 2023,CREATED,0.0,2.0,2.0,3.0,,56.2,False,,
383,186, Find a mentor in my field  , Career,Obligation / should-do,02-01-2025,2025-03-16,STARTED ,0.0,1.0,1.0,3.0,4.0,7.7,False,,
384,197,Write a long-overdue message,Relationship,Personal growth,2023-09-08,01 Jan 2024,Continued,0.7,4.0,3.0,2.0,1.0,8.1,no,,
385,100,Learn to cook healthier meals,FITNESS & HEALTH,Social connection,2024/04/05,2024-06-16,delayed,0.0,3.0,1.0,3.0,1.0,2.4,yes,2024-06-21,Overestimated effort required
386,39,Start a freelance side gig,Side Project,Financial security,13 Oct 2023,04-03-2024,Continued,3.1,2.0,3.0,,1.0,9.5,0,,
387,223,Schedule regular calls with family,Relationships,Obligation / should-do,01-15-2024,03-09-2024,STARTED ,0.0,,2.0,4.0,2.0,9.4,,,
388,62,Learn conversational Spanish,Learning&Skills,Personal growth,28 Sep 2023,01-21-2024,gave up,0.0,3.0,4.0,2.0,3.0,6.8,Yes,2023-11-08,Lack of time
389,212,Write a long-overdue message,relationships,Curiosity / fun,2023-07-25,29/11/2023,Continued,0.6,2.0,2.0,,2.0,,yes,2023-12-24,
390,245,Send a thank-you note,Relationships,Curiosity / fun,17/01/2025,02-08-2025,Planned,0.0,1.0,2.0,4.0,2.0,6.9,Y,2025-05-20,
391,189,Learn basic public speaking,Learning & Skills,Obligation / should-do,12/04/2024,2024/04/12,created,0.0,1.0,3.0,4.0,2.0,43.0,Yes,2024-06-01,
392,97,Prepare for technical interviews,CAREER,Creative expression,2025/05/18,05-31-2025,researching,0.6,3.0,,1.0,,4.1,TRUE,2025-07-05,
393,266,Pay off a small debt,Finance,Obligation / should-do,12-02-2023,31/12/2023,Researched,0.3,very low,1.0,3.0,1.0,,Y,2024-04-21,
394,107,Plan a solo trip, Travel,Obligation / should-do,27/12/2023,07/01/2024,Planned,0.0,3.0,1.0,3.0,1.0,4.5,,,
395,219,Read one book on statistics,LEARNING & SKILLS,Curiosity / fun,27 Apr 2024,06-06-2024,Continued,1.6,3.0,2.0,4.0,2.0,15.8,1,2024-10-01,
396,45,Write a long-overdue message,RELATIONSHIPS,Health & wellbeing,2023-10-13,2023-11-24,RESEARCHED,0.6,5.0,1.0,4.0,1.0,5.3,FALSE,,
397,221,Plan a family visit,relationships,Social connection,24 May 2023,06 Sep 2023,completed,0.0,4.0,1.0,5.0,1.0,22.1,True,2023-06-16,
398,182,Plan a savings goal,Financial,Creative expression,16 Aug 2024,08-28-2024,Research,0.3,,,4.0,3.0,57.2,No,,
399,238,Start a freelance side gig,Side Project,Career advancement,2024-04-14,21/04/2024,researching,0.8,4.0,1.0,3.0,3.0,,no,,
400,233,Review and cut subscriptions,FINANCIAL,Personal growth,14/05/2023,08-22-2023,gave up,0.0,1.0,5.0,,1.0,20.5,no,,No accountability
401,213,Build a personal dashboard,SIDE PROJECT,Social connection,10-07-2023,2023/10/27,researching,0.7,4.0,1.0,4.0,1.0,5.9,0,,
402,190,Train for a 5k run,FITNESS & HEALTH,Social connection,04-25-2024,2024-04-29,Researched,0.8,2.0,1.0,2.0,1.0,10.2,N,,
403,94,Plan a trip itinerary,travel,Financial security,06-26-2025,26 Jun 2025,created,0.0,2.0,3.0,4.0,1.0,4.9,no,,
404,185,start a photography project,Creative,Obligation / should-do,2024-08-08,14/09/2024,researching,0.6,4.0,1.0,3.0,1.0,23.9,no,,
405,85,START A READING CHALLENGE,HOBBY,Social connection,11-10-2024,2024-12-02,PLANNED,0.0,5.0,4.0,3.0,2.0,14.6,,,
406,306,Plan a road trip route, Travel,Creative expression,19 Oct 2023,16 Apr 2024,DONE,0.0,4.0,4.0,5.0,1.0,3.0,N,,
407,307,Learn a new design software,Creativity,Creative expression,09-02-2023,09-04-2023,researching,1.3,3.0,1.0,3.0,,5.4,False,,
408,125,Start a houseplant collection,Hobbies,Curiosity / fun,22 Dec 2023,2023-12-23,Researched,5.6,2.0,3.0,5.0,2.0,34.3,no,,
409,26,Ask for a performance review,career,Health & wellbeing,27/05/2024,2024-09-08,continued work,0.5,very high,1.0,2.0,2.0,5.2,False,,
410,40,BUILD AN AUTOMATION SCRIPT,side project,Creative expression,10/01/2025,03-25-2025,abandoned,0.0,3.0,,3.0,2.0,2.9,no,,Lost interest
411,137,Plan a solo trip,TRAVEL ,Obligation / should-do,04-06-2023,2023-04-29,Researched,2.5,3.0,1.0,2.0,2.0,,,,
412,33,compare insurance providers,Finance,Financial security,12 Jun 2025,24 Jun 2025,Researched,2.3,2.0,3.0,high,1.0,19.4,no,,
413,287,PLAN A ROAD TRIP ROUTE,Travel,Creative expression,2024/10/29,2024/11/14,RESEARCHED,0.5,3.0,3.0,4.0,1.0,7.0,True,2025-04-15,
414,298,Reduce screen time before bed,fitness/health,Obligation / should-do,06 Apr 2023,2023/07/07,Abandoned,0.0,4.0,1.0,1.0,1.0,25.4,0,,Unclear next step
415,59,Launch a small online shop,Side Project,Health & wellbeing,2024-06-02,06-25-2024,PLANNED,0.0,2.0,2.0,2.0,3.0,11.3,,2024-09-13,
416,312,Start a small blog,side project,Social connection,10-19-2023,2024/02/19,CONTINUED,1.0,3.0,3.0,2.0,4.0,6.4,yes,2023-12-13,
417,101, Start a niche newsletter  ,SideProject,Health & wellbeing,03/10/2024,11-04-2024,delayed,-0.0,4.0,4.0,1.0,3.0,4.5,,2025-02-06,Competing priorities
418,150,Read one book on statistics,learning and skills,Obligation / should-do,02 May 2023,2023-05-21,researching,0.3,2.0,low,2.0,1.0,2.3,0,,
419,288, Build a portfolio project  ,side project,Curiosity / fun,05 Mar 2023,2023-05-16,start,0.0,3.0,2.0,5.0,3.0,,N,,
420,267,improve sleep schedule,FITNESS & HEALTH,Financial security,2024-01-25,04-03-2024,CONTINUED,,4.0,4.0,3.0,3.0,9.3,No,,
421,67,Build a portfolio project,side project,Personal growth,25 Apr 2023,2023/04/25,Created,0.0,,1.0,3.0,1.0,19.6,Yes,2023-11-01,
422,8,Start a puzzle-solving habit,Hobby,Health & wellbeing,06/04/2025,2025/05/24,PUSHED BACK,0.0,1.0,,1.0,1.0,9.7,yes,2025-08-15,Overestimated effort required
423,248,Renew an expiring document,Home & Admin,Curiosity / fun,2024/07/23,2024/07/30,Researched,0.2,5.0,4.0,2.0,2.0,35.4,True,2024-12-27,
424,133,learn key phrases for a trip,Travel,Curiosity / fun,12-30-2023,02-14-2024,Postponed,0.0,2.0,1.0,medium,1.0,4.3,N,,Competing priorities
425,107,Plan a solo trip,Travel,Obligation / should-do,27/12/2023,2024-02-05,ABANDONED,0.0,3.0,1.0,3.0,1.0,4.5,no,,Lost interest
426,103,improve sleep schedule,FITNESS & HEALTH,Personal growth,25/08/2023,01 Nov 2023,abandoned,0.0,3.0,2.0,3.0,1.0,4.9,,,Unclear next step
427,229,Read one book on statistics,Learning & Skills,Career advancement,19 Oct 2024,19 Oct 2024,created,0.0,2.0,4.0,3.0,2.0,7.0,No,,
428,312,Start a small blog,side project,Social connection,19 Oct 2023,2023/10/28,Research,0.8,3.0,3.0,2.0,4.0,6.4,Yes,2023-12-13,
429,115,Reconnect with a former colleague,RELATIONSHIPS,Obligation / should-do,09 Feb 2025,09/02/2025,New,500.0,,,3.0,,17.2,N,,
430,218,Start a small garden,Hobbies,Curiosity / fun,2025/04/22,2025-05-31,planning,0.0,3.0,3.0,3.0,1.0,6.8,False,,
431,197,WRITE A LONG-OVERDUE MESSAGE,RELATIONSHIPS,Personal growth,08 Sep 2023,28 Sep 2023,Research,2.6,4.0,3.0,2.0,1.0,8.1,,,
432,131,track spending for a month,Finance,Obligation / should-do,2023-09-07,2023-09-07,New,0.0,5.0,3.0,3.0,1.0,82.8,N,,
433,29,Read one book on statistics,LEARNING & SKILLS,Social connection,06-18-2025,2025-07-09,researching,0.7,3.0,4.0,1.0,2.0,10.3,N,,
434,197,Write a long-overdue message,Relationship,Personal growth,08/09/2023,29 Nov 2023,Continued,2.8,4.0,3.0,2.0,1.0,8.1,no,,
435,128,Start daily stretching,FITNESS & HEALTH,Social connection,2023/06/30,30 Jun 2023,Created,0.0,1.0,3.0,3.0,1.0,2.5,no,,
436,228,Research career change options,career,Creative expression,2023/10/10,27/10/2023,researching,1.1,high,4.0,,3.0,,1,2023-11-24,
437,313,Research flights for a trip, Travel,Health & wellbeing,31/05/2023,2023/06/18,Researched,,3.0,1.0,1.0,2.0,15.8,False,,
438,117,Deep clean the kitchen,home/admin,Career advancement,27 Oct 2024,10-27-2024,New,0.0,3.0,2.0,,3.0,9.6,Y,2025-04-25,
439,160,Research a relocation destination,travel,Obligation / should-do,2024-04-24,01/06/2024,Research,,4.0,2.0,4.0,1.0,8.4,No,,
440,34,Contribute to an open-source project,SideProject,Social connection,01-17-2025,2025/03/03,Research,1.0,3.0,3.0,5.0,2.0,4.1,No,,
441,25,Renew an expiring document,home/admin,Creative expression,10-28-2023,2023-12-27,Began,0.0,4.0,1.0,5.0,1.0,13.8,No,,
442,227,Organize digital files,HOME & ADMIN,Curiosity / fun,2024-12-03,03-18-2025,CONTINUED,2.2,3.0,3.0,5.0,2.0,6.6,False,,
443,187,Write a long-overdue message,Relationships,Personal growth,22 May 2024,2024-05-22,created,0.0,2.0,4.0,1.0,1.0,12.1,0,,
444,125,Start a houseplant collection,Hobbies,Curiosity / fun,2023-12-22,2023/12/22,created,0.0,2.0,3.0,5.0,2.0,34.3,0,,
445,144,learn salary negotiation,career,Social connection,2023-10-08,28/01/2024,gave up,0.0,,2.0,medium,,7.8,Y,2023-11-04,Perfectionism / fear of failure
446,165,Research flights for a trip,travel,Social connection,2024/10/29,02/03/2025,continued work,6.7,2.0,4.0,5.0,1.0,5.5,No,,
447,295,organize digital files,Home and Admin,Curiosity / fun,2024-08-19,19 Aug 2024,CREATED,0.0,4.0,1.0,3.0,1.0,4.0,False,,
448,158,Plan a family visit,relationships,Social connection,07-11-2024,09 Oct 2024,ABANDONED,0.0,4.0,3.0,3.0,1.0,1.8,yes,2024-09-01,Lack of money
449,190,Train for a 5k run,Fitness & Health,Social connection,2024/04/25,2024/05/10,ABANDONED,,2.0,1.0,2.0,1.0,10.2,,,Lack of time
450,157,Research a relocation destination, Travel,Financial security,2024-12-04,2025-02-08,Postponed,0.0,3.0,1.0,3.0,2.0,13.5,TRUE,2025-02-23,Perfectionism / fear of failure
451,157,research a relocation destination,travel,Financial security,12-04-2024,07 Jun 2025,Postponed,0.0,3.0,1.0,3.0,2.0,13.5,True,2025-02-23,Lack of time
452,157,Research a relocation destination,Travel,Financial security,2024/12/04,2024-12-04,Created,0.0,3.0,1.0,3.0,2.0,13.5,yes,2025-02-23,
453,306,Plan a road trip route, Travel,Creative expression,2023-10-19,2023-11-15,researching,1.1,4.0,4.0,5.0,,,no,,
454,312,Start a small blog,SideProject,Social connection,19/10/2023,2023/10/19,CREATED,0.0,3.0,3.0,2.0,4.0,6.4,True,2023-12-13,
455,134,Plan a savings goal,financial,Career advancement,19/12/2024,19/02/2025,Researched,1.8,3.0,2.0,5.0,,21.8,FALSE,,
456,276,TRY A NEW CRAFT TECHNIQUE,Creative,Health & wellbeing,03-08-2025,2025-05-30,Continued,5.9,low,1.0,4.0,1.0,42.2,yes,2025-07-30,
457,96,Learn touch typing,Learning&Skills,Creative expression,13/08/2023,28/10/2023,CONTINUED,1.5,low,3.0,3.0,5.0,22.4,TRUE,2024-02-21,
458,298,REDUCE SCREEN TIME BEFORE BED,Fitness & Health,Obligation / should-do,06/04/2023,29/04/2023,Researched,1.5,4.0,,1.0,1.0,25.4,N,,
459,181,Update personal records,home/admin,Social connection,2023/10/01,01/10/2023,New,0.0,medium,2.0,,2.0,9.7,No,,
460,130,Start a puzzle-solving habit,Hobby,Health & wellbeing,2023/11/27,09/05/2024,Continued,4.6,2.0,1.0,3.0,1.0,15.3,no,,
461,250,prepare for technical interviews, Career,Health & wellbeing,06 Sep 2024,10-16-2024,RESEARCHED,3.2,1.0,2.0,2.0,,2.0,False,,
462,212,write a long-overdue message,relationships,Curiosity / fun,2023-07-25,09-15-2023,STARTED ,0.0,2.0,2.0,4.0,2.0,5.9,yes,2023-12-24,
463,244,Schedule regular calls with family,relationships,Creative expression,2025/06/28,2025/06/28,Created,0.0,4.0,1.0,3.0,1.0,56.3,1,2025-10-06,
464,100,LEARN TO COOK HEALTHIER MEALS,FITNESS & HEALTH,Social connection,2024/04/05,06-02-2024,Researched,0.8,3.0,1.0,3.0,1.0,2.4,yes,2024-06-21,
465,232,Renew an expiring document,home/admin,Career advancement,18/03/2025,11 Apr 2025,RESEARCHED,2.0,4.0,1.0,5.0,2.0,6.1,0,,
466,269,Learn touch typing,learning and skills,Obligation / should-do,01 Jun 2025,13/07/2025,Planned,,3.0,2.0,3.0,4.0,19.2,0,,
467,144, Learn salary negotiation  , Career,Social connection,2023-10-08,26 Oct 2023,researching,1.9,4.0,2.0,3.0,1.0,7.8,Yes,2023-11-04,
468,77,Reorganize the wardrobe,Home and Admin,Curiosity / fun,2025-06-04,2025-07-17,planning,0.0,2.0,1.0,1.0,1.0,4.1,True,2025-08-28,
469,141,Read one book on statistics,Learning&Skills,Personal growth,20 Nov 2023,12-14-2023,Researched,1.5,2.0,3.0,2.0,1.0,2.0,yes,2024-04-19,
470,221,plan a family visit,Relationship,Social connection,2023/05/24,2023-07-18,start,0.0,4.0,1.0,5.0,1.0,22.1,Yes,2023-06-16,
471,267, Improve sleep schedule  ,Fitness & Health,Financial security,25/01/2024,10/04/2024,continued work,6.1,4.0,4.0,3.0,3.0,,no,,
472,311, Build a portfolio website  ,career,Health & wellbeing,2025/06/14,14/06/2025,Created,0.0,3.0,2.0,2.0,1.0,6.7,FALSE,,
473,104,Learn to play an instrument,creative,Creative expression,02-29-2024,2024/02/29,New,0.0,4.0,3.0,2.0,1.0,16.1,False,,
474,51,Organize digital files,Home & Admin,Personal growth,02-21-2023,25/03/2023,start,0.0,1.0,3.0,5.0,2.0,2.1,No,,
475,20,Start a small garden,Hobby,Financial security,2024-08-20,2025-04-04,worked on it,3.1,1.0,2.0,3.0,1.0,6.6,,,
476,81,SELL UNUSED ITEMS ONLINE,HOME & ADMIN,Health & wellbeing,2024-09-12,12/09/2024,created,0.0,1.0,1.0,3.0,1.0,5.4,N,,
477,171,Build a personal data project,side project,Creative expression,2024-11-04,02/01/2025,Continued,0.9,2.0,1.0,2.0,4.0,29.3,0,,
478,96,Learn touch typing,Learning&Skills,Creative expression,2023/08/13,2023/09/03,postponed,,2.0,3.0,3.0,5.0,22.4,1,2024-02-21,Lost interest
479,314,Start sketching daily,CREATIVE ,Career advancement,2025-06-24,24/06/2025,New,0.0,2.0,2.0,4.0,1.0,5.1,0,,
480,316,Plan a family visit,RELATIONSHIPS,Health & wellbeing,19 Jan 2024,06 Feb 2024,Researched,0.8,,1.0,4.0,1.0,3.9,yes,2024-04-23,
481,69,Call an old friend,Relationships,Career advancement,2023/02/12,12/02/2023,created,0.0,2.0,2.0,3.0,1.0,5.3,,,
482,230,Ask for a performance review,CAREER,Financial security,2023-09-07,2023/10/04,RESEARCHED,2.0,3.0,1.0,1.0,,,0,,
483,223,SCHEDULE REGULAR CALLS WITH FAMILY,RELATIONSHIPS,Obligation / should-do,15 Jan 2024,28/04/2024,worked on it,-0.5,,2.0,4.0,2.0,9.4,No,,
484,76,Review and cut subscriptions,financial,Obligation / should-do,2023/08/17,2023-11-23,Started,0.0,2.0,,3.0,5.0,3.9,,2023-10-19,
485,84,Automate a recurring bill payment,Home and Admin,Curiosity / fun,03-13-2023,2023/05/14,Started,0.0,2.0,4.0,medium,,8.7,no,,
486,271,Start a small garden,hobby,Social connection,2024-12-27,2025-01-26,Researched,1.8,1.0,1.0,4.0,2.0,4.9,0,,
487,48,Enter a local art competition,CREATIVE ,Obligation / should-do,02/03/2023,2023-03-03,RESEARCHED,0.3,3.0,1.0,3.0,1.0,17.6,Yes,2023-03-16,
488,74,Build an emergency fund,Finance,Obligation / should-do,2025/03/17,04-08-2025,RESEARCHED,6.4,,2.0,3.0,2.0,4.1,No,,
489,223,Schedule regular calls with family,relationships,Obligation / should-do,2024/01/15,2024/06/19,completed,0.0,2.0,2.0,4.0,2.0,9.4,False,,
490,313,Research flights for a trip,TRAVEL ,Health & wellbeing,2023-05-31,06 Jul 2023,researching,2.0,3.0,1.0,,2.0,15.8,No,,
491,185,Start a photography project,Creative,Obligation / should-do,08-08-2024,19/09/2024,planning,0.0,4.0,very low,3.0,1.0,23.9,False,,
492,187,Write a long-overdue message,Relationship,Personal growth,22 May 2024,26/05/2024,Researched,1.2,2.0,4.0,,1.0,12.1,no,,
493,41,Try a new craft technique,creative,Health & wellbeing,2025-04-06,2025/06/05,STARTED ,0.0,3.0,3.0,4.0,2.0,2.4,False,,
494,123,Practice a new software tool weekly,learning and skills,Financial security,2024-12-08,08/12/2024,CREATED,0.0,3.0,,3.0,1.0,73.8,FALSE,,
495,266,Pay off a small debt,financial,Obligation / should-do,2023-12-02,12-25-2023,Research,2.1,1.0,1.0,3.0,1.0,14.0,yes,2024-04-21,
496,215,Research a relocation destination,Travel,Financial security,25/05/2023,23 Jun 2023,Researched,1.3,3.0,,,1.0,20.0,,,
497,156,build an emergency fund,FINANCIAL,Social connection,26 Aug 2023,2023/08/26,Created,0.0,1.0,1.0,3.0,2.0,14.3,no,,
498,226,ask for a performance review,career,Financial security,2023/08/11,2023-10-30,REPLACED,0.0,1.0,2.0,low,2.0,11.0,No,,Replaced by a different priority
499,123,Practice a new software tool weekly,Learning&Skills,Financial security,2024/12/08,2024-12-16,researching,0.5,3.0,2.0,3.0,1.0,73.8,FALSE,,
500,58,Plan a weekend getaway, Travel,Health & wellbeing,2024/07/30,08-31-2024,Research,1.4,very low,2.0,4.0,1.0,4.7,No,,
501,249,Learn touch typing,learning and skills,Obligation / should-do,2023-12-29,29/12/2023,created,0.0,2.0,2.0,2.0,1.0,4.6,,,
502,43,GET A PROFESSIONAL CERTIFICATION,career,Curiosity / fun,04 Mar 2023,06-05-2023,gave up,0.0,3.0,,4.0,3.0,6.1,No,,Low energy / burnout
503,157,Research a relocation destination,travel,Financial security,04/12/2024,2025-02-27,PLANNED,0.0,3.0,1.0,3.0,2.0,13.5,yes,2025-02-23,
504,125,Start a houseplant collection,hobby,Curiosity / fun,22 Dec 2023,05/01/2024,Research,0.8,2.0,3.0,5.0,2.0,34.3,,,
505,206,BUILD AN EMERGENCY FUND,financial,Career advancement,2024/08/02,2024/08/02,Created,0.0,3.0,2.0,3.0,3.0,3.3,,,
506,247,Finish an online Python course,learning and skills,Health & wellbeing,05-01-2025,31/05/2025,worked on it,1.3,low,,3.0,5.0,4.0,TRUE,2025-09-02,
507,80,Learn a card or board game deeply,Hobby,Curiosity / fun,09 Feb 2023,09 Feb 2023,CREATED,0.0,2.0,1.0,5.0,1.0,24.9,yes,2023-06-14,
508,60,Start a photography project,creative,Social connection,10-19-2023,2023/12/01,Started,,2.0,3.0,3.0,2.0,,TRUE,2024-03-20,
509,55,Schedule regular calls with family,relationships,Curiosity / fun,09-25-2023,30/11/2023,PLANNED,0.0,4.0,1.0,4.0,1.0,3.4,True,2024-04-09,
510,209,START A PUZZLE-SOLVING HABIT,Hobbies,Personal growth,25/11/2024,25 Nov 2024,Created,0.0,5.0,2.0,4.0,1.0,7.0,,,
511,231,Learn basic public speaking,LEARNING & SKILLS,Financial security,01 Aug 2023,08-02-2023,researching,0.5,2.0,1.0,2.0,,35.8,N,,
512,227,Organize digital files,Home & Admin,Curiosity / fun,2024/12/03,2025/02/11,Continued,3.5,3.0,,5.0,2.0,6.6,N,,
513,61,Learn basic calligraphy,HOBBY,Social connection,2024-11-14,25/12/2024,researching,0.8,2.0,1.0,4.0,2.0,8.0,0,,
514,226,Ask for a performance review,career,Financial security,11/08/2023,2023/08/13,Researched,0.5,1.0,2.0,low,2.0,11.0,,,
515,130,Start a puzzle-solving habit,HOBBY,Health & wellbeing,2023-11-27,20/03/2024,Continued,1.2,2.0,1.0,3.0,,15.3,N,,
516,154,Redesign a personal art portfolio,Creative,Personal growth,07/11/2024,04/12/2024,Research,1.5,2.0,2.0,5.0,1.0,41.7,True,2025-01-21,
517,111,Learn to cook healthier meals,fitness/health,Career advancement,2023/05/11,11 May 2023,Created,0.0,3.0,2.0,4.0,1.0,11.1,No,,
518,59, Launch a small online shop  ,side project,Health & wellbeing,02/06/2024,06-02-2024,Created,0.0,2.0,2.0,2.0,3.0,11.3,TRUE,2024-09-13,
519,276,Try a new craft technique,creative,Health & wellbeing,08/03/2025,03-12-2025,researching,4.4,2.0,1.0,4.0,1.0,42.2,Y,2025-07-30,
520,219,Read one book on statistics,learning and skills,Curiosity / fun,27/04/2024,07-21-2024,CONTINUED,4.5,3.0,low,,2.0,15.8,1,2024-10-01,
521,43,Get a professional certification,career,Curiosity / fun,2023/03/04,2023/03/04,CREATED,0.0,3.0,3.0,4.0,3.0,6.1,FALSE,,
522,11,create a monthly budget,FINANCIAL,Obligation / should-do,25/05/2025,05-31-2025,Research,5.4,3.0,2.0,2.0,3.0,20.7,Yes,2025-07-03,
523,245,send a thank-you note,relationships,Curiosity / fun,2025/01/17,17 Jan 2025,Created,0.0,1.0,2.0,high,2.0,,,2025-05-20,
524,48,Enter a local art competition,creative,Obligation / should-do,2023-03-02,2023/03/23,researching,2.6,3.0,1.0,3.0,1.0,17.6,Y,2023-03-16,
525,91,START GOING TO THE GYM 3X/WEEK,Fitness & Health,Curiosity / fun,18 Oct 2023,2023/12/22,STARTED ,0.0,3.0,3.0,2.0,2.0,5.1,N,,
526,133,Learn key phrases for a trip,travel,Curiosity / fun,30/12/2023,19 Jan 2024,Researched,0.8,2.0,1.0,3.0,1.0,4.3,FALSE,,
527,297,Learn the basics of investing,Finance,Curiosity / fun,21 Jan 2024,2024-02-21,Research,1.3,3.0,2.0,very high,,10.0,False,,
528,196,Ask for a performance review, Career,Curiosity / fun,2025/03/26,2025/04/12,Research,0.5,1.0,2.0,1.0,1.0,16.2,1,2025-07-09,
529,130,Start a puzzle-solving habit,hobby,Health & wellbeing,2023/11/27,23/06/2024,continued work,2.1,low,1.0,3.0,1.0,15.3,,,
530,302,Build a personal dashboard,SideProject,Career advancement,05-05-2025,05-11-2025,Researched,1.3,2.0,3.0,4.0,2.0,30.9,False,,
